table_id,content_category,raw_item,canonical_item,count
1-17,드라마,다양한  소재 또는 장르름 다뒤서,다양한 소재 또는 장르름 다리서,2
1-17,드라마,흙 영상매연출력 등 작품성이 좋아서,영상미 연출력 등 작품성이 좋아서,2
1-17,드라마,온라인모바일 플품올 통해 접할 수 있어서,온라인모바일 플렉품올 통해 접할 수 있어서,2
1-17,드라마,류 기타,기타,2
1-17,드라마,슈 패센부티 등 한국 최신 트렌드록 볼 수 있어서,패센부티 등 한국 최신 트렌드록 볼 수 있어서,2
1-17,드라마,온라인모바일 플햇품올 통해 접할 수 있어서,온라인모바일 플렉품올 통해 접할 수 있어서,2
1-17,드라마,한국어에 대한 관심 및 학습 수요가 증기해서,한국어에 대한 관심 및 학습 수요가 증가해서,2
1-17,드라마,드 불평등양국화 등 사회 문제름 현실적으로 표현해서,불평등양국화 등 사회 문제름 현실적으로 표현해서,2
1-17,드라마,슈 배우의 연기력이 뛰어나서,배우의 연기력이 뛰어나서,2
1-17,드라마,라 연애 스토리가 순수해서,연애 스토리가 순수해서,2
1-17,드라마,수 패센부티 등 한국 최신 트렌드록 볼 수 있어서,패센부티 등 한국 최신 트렌드록 볼 수 있어서,2
1-17,드라마,흙 온라인모바일 플품올 통해 접할 수 있어서,온라인모바일 플렉품올 통해 접할 수 있어서,2
1-17,드라마,한국 생활문화름 간접 경험하거나 이해활 수 있어서,한국 생활문회틀 간접 경험하거나 이해할 수 있어서,2
1-17,드라마,온라인모바일 플렉품을 통해 접할 수 있어서,온라인모바일 플렉품올 통해 접할 수 있어서,2
1-17,드라마,영상매 연출력 등 작품성이 좋아서,영상미 연출력 등 작품성이 좋아서,2
1-17,드라마,슈 한국 생활문회틀 간접 경험하거나 이해할 수 있어서 한국어에 대한 관심 및 학습 수요가 증가해서,한국어에 대한 관심 및 학습 수요가 증가해서,2
1-17,드라마,복 온라입모바일 플렉품올 통해 접할 수 있어서,온라인모바일 플렉품올 통해 접할 수 있어서,2
1-17,드라마,복 패센부티 등 한국 최신 트렌드록 볼 수 있어서,패센부티 등 한국 최신 트렌드록 볼 수 있어서,2
1-17,드라마,흙 연애 스토리가 순수해서,연애 스토리가 순수해서,2
1-17,드라마,복 배우의 연기력이 뛰어나서,배우의 연기력이 뛰어나서,2
1-17,드라마,스토리가 짜임새 있고 탄단해서,스토리가 짜임새 잇고 단단해서,2
1-17,드라마,패센분티 등 한국 최신 트렌드록 볼 수 있어서,패센부티 등 한국 최신 트렌드록 볼 수 있어서,2
1-17,드라마,류 불평등양국화 등 사회 문제름 현실적으로 표현해서,불평등양국화 등 사회 문제름 현실적으로 표현해서,2
1-17,드라마,라 한국 생활문회틀 간접 경험하거나 이해할 수 있어서,한국 생활문회틀 간접 경험하거나 이해할 수 있어서,2
1-17,드라마,수 배우의 연기력이 뛰어나서,배우의 연기력이 뛰어나서,2
1-17,드라마,복 불평등양국화 등 사회 문제름 현실적으로 표현해서,불평등양국화 등 사회 문제름 현실적으로 표현해서,2
1-17,드라마,표현 방식이 과감독안생생해서,표현 방식이 과감독특생생해서,2
1-17,드라마,스토리가 짜임새 잇고 단탄단해서,스토리가 짜임새 잇고 단단해서,2
1-17,드라마,복 불평등양극화 등 사회 문제름 현실적으로 표현해서,불평등양국화 등 사회 문제름 현실적으로 표현해서,2
1-17,드라마,다양한 소재 또는 장르틀 다리서,다양한 소재 또는 장르름 다리서,2
1-17,드라마,패션볶티 등 한국 최신 트렌드록 볼 수 있어서,패센부티 등 한국 최신 트렌드록 볼 수 있어서,2
1-17,드라마,륙 기타,기타,2
1-17,드라마,마 배우의 연기력이 뛰어나서,배우의 연기력이 뛰어나서,2
1-17,드라마,복 한국어에 대한 관심 및 학습 수요가 증기해서,한국어에 대한 관심 및 학습 수요가 증가해서,2
1-17,드라마,드 패센분티 등 한국 최신 트럭드록 볼 수 있어서,패센부티 등 한국 최신 트렌드록 볼 수 있어서,2
1-17,드라마,라 온라인모바일 플품올 통해 접할 수 있어서,온라인모바일 플렉품올 통해 접할 수 있어서,2
1-17,드라마,슈 불명하등교부-도 실:밤 불평등양극화 등 사회 문제름 현실적으로 표현해서,불평등양국화 등 사회 문제름 현실적으로 표현해서,2
1-17,드라마,패센볶티 등 한국 최신 트렌드록 볼 수 있어서,패센부티 등 한국 최신 트렌드록 볼 수 있어서,2
1-17,드라마,한국어에 대한 관심 및 학습 수요가 증기해서 한국 생활문회틀 간접 경험하거나 이해할 수 있어서,한국 생활문회틀 간접 경험하거나 이해할 수 있어서,2
1-17,드라마,류 온라인모바일 플렉품올 통해 접할 수 있어서,온라인모바일 플렉품올 통해 접할 수 있어서,2
1-17,드라마,다양한  소재 또는 장르름 다퀴서,다양한 소재 또는 장르름 다리서,2
1-17,드라마,온라인모바일 플랍품올 통해 접할 수 있어서,온라인모바일 플렉품올 통해 접할 수 있어서,2
1-17,드라마,복 한국어에 대한 관심 및 학습 수요가 증가해서,한국어에 대한 관심 및 학습 수요가 증가해서,2
1-17,드라마,드 패센분티 등 한국 최신 트렌드록 볼 수 있어서,패센부티 등 한국 최신 트렌드록 볼 수 있어서,2
1-17,드라마,수 불평등양극화 등 사회 문제름 현실적으로 표현해서,불평등양국화 등 사회 문제름 현실적으로 표현해서,2
1-17,드라마,흙 패센분티 등 한국 최신 트럭드록 볼 수 있어서,패센부티 등 한국 최신 트렌드록 볼 수 있어서,1
1-17,드라마,패센뷰티 등 한국 최신 트렌드록 볼 수 있어서,패센부티 등 한국 최신 트렌드록 볼 수 있어서,1
1-17,드라마,흙 불평등양극화 등 사회 문제름 현실적으로 표현해서,불평등양국화 등 사회 문제름 현실적으로 표현해서,1
1-17,드라마,운 온라인모바일 플랫품올 통해 접할 수 있어서,온라인모바일 플렉품올 통해 접할 수 있어서,1
1-17,드라마,한국 생활문화지 간접 경험하거나 이해할 수 있어서,한국 생활문회틀 간접 경험하거나 이해할 수 있어서,1
1-17,드라마,패센볶티 등 한국 최신 트럭드록 볼 수 있어서,패센부티 등 한국 최신 트렌드록 볼 수 있어서,1
1-17,드라마,온라엔모바일 플스올 통해 접할 수 있어서,온라인모바일 플렉품올 통해 접할 수 있어서,1
1-17,드라마,흙 패센부티 등 한국 최신 트렌드록 볼 수 있어서,패센부티 등 한국 최신 트렌드록 볼 수 있어서,1
1-17,드라마,패센뷰티 등 한국 최신 트랜드록 볼 수 있어서,패센부티 등 한국 최신 트렌드록 볼 수 있어서,1
1-17,뷰티,제품 때키지의 디자인이 좋아서,제품 패키지의 디자인이 좋아서,19
1-17,뷰티,자연 친화적 성분 및 재료지 사용해서,자연 친화적 성분 및 재료틀 사용해서,18
1-17,뷰티,신제품이 자주 나와서,신제품이 자주 나외서,14
1-17,뷰티,좋아하는 한류스타가 직접 사용 홍보해서,좋아하는 한류스타가 직접 사용홍보해서,13
1-17,뷰티,흙 좋아하는 인플루언서가 직접 사용홍보해서,좋아하는 인플루언서가 직접 사용홍보해서,10
1-17,뷰티,복 신제품이 자주 나외서,신제품이 자주 나외서,8
1-17,뷰티,기타,붐 기타,7
1-17,뷰티,복 브랜드 이미지가 좋아서,브랜드 이미지가 좋아서,4
1-17,뷰티,복 제품 때키지의 디자인이 좋아서,제품 패키지의 디자인이 좋아서,4
1-17,뷰티,슈 브랜드 이미지가 좋아서,브랜드 이미지가 좋아서,4
1-17,뷰티,복 제품 패키지의 디자인이 좋아서,제품 패키지의 디자인이 좋아서,4
1-17,뷰티,흙 브랜드 이미지가 좋아서,브랜드 이미지가 좋아서,4
1-17,뷰티,흙 신제품이 자주 나외서,신제품이 자주 나외서,4
1-17,뷰티,복 좋아하는 인플루언서가 직접 사용홍보해서,좋아하는 인플루언서가 직접 사용홍보해서,4
1-17,뷰티,출 제품 때키지의 디자인이 좋아서,제품 패키지의 디자인이 좋아서,4
1-17,뷰티,자연 친화적 성분 및 재료름 사용해서,자연 친화적 성분 및 재료틀 사용해서,3
1-17,뷰티,슈 자연 친화적 성분 및 재료틀 사용해서,자연 친화적 성분 및 재료틀 사용해서,2
1-17,뷰티,수 좋아하논 한류스타가 직접 사용웅보해서,좋아하는 한류스타가 직접 사용홍보해서,2
1-17,뷰티,복 자연 친화적 성분 및 재료틀 사용해서,자연 친화적 성분 및 재료틀 사용해서,2
1-17,뷰티,둘 접근성이 좋아서,접근성이 좋아서,2
1-17,뷰티,수 브랜드 이미지가 좋아서,브랜드 이미지가 좋아서,2
1-17,뷰티,수 제품 때키지의 디자인이 좋아서,제품 패키지의 디자인이 좋아서,2
1-17,뷰티,흙 품질 대비 가격이 저럼해서,품질 대비 가격이 저럼해서,2
1-17,뷰티,위 제품 종류가 다양해서,제품 종류가 다양해서,2
1-17,뷰티,(중복) 제품 때키지의 디자인이 좋아서,제품 패키지의 디자인이 좋아서,2
1-17,뷰티,수 신제품이 자주 나라서,신제품이 자주 나외서,2
1-17,뷰티,둘 좋아하는 인플루언서가 직접 사용홍보해서,좋아하는 인플루언서가 직접 사용홍보해서,2
1-17,뷰티,수 물질 다비 가격이 저럼해서,품질 대비 가격이 저럼해서,2
1-17,뷰티,소 좋이하는 한류스타가 직접 사용홍보해서,좋아하는 한류스타가 직접 사용홍보해서,2
1-17,뷰티,수 자연 친화적 성분 및 재료틀 사용해서,자연 친화적 성분 및 재료틀 사용해서,2
1-17,뷰티,흙 주변 사람들 사이에 평판이 좋아서,주변 사람들 사이에 평판이 좋아서,2
1-17,뷰티,슈 품질 대비 가격이 저럼해서,품질 대비 가격이 저럼해서,2
1-17,뷰티,(중복) 브랜드 이미지가 좋아서,브랜드 이미지가 좋아서,2
1-17,뷰티,흙 좋아하는 한류스타가 직접 사용홍보해서,좋아하는 한류스타가 직접 사용홍보해서,2
1-17,뷰티,수 중 하당 인플루언서가 직접 사용홍보해서,좋아하는 인플루언서가 직접 사용홍보해서,2
1-17,뷰티,복 접근성이 좋아서,접근성이 좋아서,2
1-17,뷰티,숲 좋아하는 한류스타가 직접 사용홍보해서,좋아하는 한류스타가 직접 사용홍보해서,2
1-17,뷰티,복 주변 사람들 사이에 평판이 좋아서,주변 사람들 사이에 평판이 좋아서,2
1-17,뷰티,붐 좋아하는 인플루언서가 직접 사용홍보해서,좋아하는 인플루언서가 직접 사용홍보해서,2
1-17,뷰티,수 제품 종류가 다양해서,제품 종류가 다양해서,2
1-17,뷰티,슈 접근성이 좋아서,접근성이 좋아서,2
1-17,뷰티,부 기타,붐 기타,2
1-17,뷰티,출 자연 친화적 성분 및 재료지 사용해서,자연 친화적 성분 및 재료틀 사용해서,2
1-17,뷰티,붐 자연 친화적 성분 및 재료지 사용해서,자연 친화적 성분 및 재료틀 사용해서,2
1-17,뷰티,둘 제품 패키지의 디자인이 좋아서,제품 패키지의 디자인이 좋아서,2
1-17,뷰티,슈 좋아하는 인플루언서가 직접 사용홍보해서,좋아하는 인플루언서가 직접 사용홍보해서,2
1-17,뷰티,유 좋아하h 인플루언서가 직접 사용홍보해서,좋아하는 인플루언서가 직접 사용홍보해서,2
1-17,뷰티,흙 제품 때키지의 디자인이 좋아서,제품 패키지의 디자인이 좋아서,1
1-17,뷰티,복 자연 친회적 성분 및 재료틀 사용해서,자연 친화적 성분 및 재료틀 사용해서,1
1-17,뷰티,(중복) 신제품이 자주 나와서,(복 신제품이 자주 나와서,1
1-17,애니메이션,캐릭터의 성계역할이 마음에 들어서,캐릭터의 성격역할이 마음에 들어서,16
1-17,애니메이션,자료나의 문화 코드와 잘 맞아서,자국나의 문화 코드와 잘 맞아서,12
1-17,애니메이션,스토리가 짜임새 잇고 단단해서,스토리가 짜임새 있고 단단해서,10
1-17,애니메이션,# 기타,기타,10
1-17,애니메이션,캐릭터의 성격 역할이 마음에 들어서,캐릭터의 성격역할이 마음에 들어서,10
1-17,애니메이션,둘 온라인모바일 플렉품올 통해 접할 수 있어서,온라인모바일 플렉품올 통해 접할 수 있어서,10
1-17,애니메이션,교육용으로 활용할 수 잇는 내용이 풍부해서,교육용으로 활용할 수 있는 내용이 풍부해서,9
1-17,애니메이션,교육용의로 활용할 수 있는 내용이 풍부해서,교육용으로 활용할 수 있는 내용이 풍부해서,9
1-17,애니메이션,영상매그림체  색채 그픽 등가 좋아서,영상매그림체  색채 그래픽 등가 좋아서,8
1-17,애니메이션,한국 생활문회름 간접 경험하거나 이해할 수 있어서,한국 생활문회틀 간접 경험하거나 이해할 수 있어서,7
1-17,애니메이션,영상매그림체 색채 그래픽 등가 좋아서,영상매그림체  색채 그래픽 등가 좋아서,6
1-17,애니메이션,다양한  소재 또는 장르름 다리서,다양한 소재 또는 장르름 다리서,6
1-17,애니메이션,수 한국 생활문회틀 간접 경험하거나 이해할 수 있어서,한국 생활문회틀 간접 경험하거나 이해할 수 있어서,6
1-17,애니메이션,복 폭력적이거나 선정적인 내용이 적어서,폭력적이거나 선정적인 내용이 적어서,6
1-17,애니메이션,위 온라인모바일 플렉품올 통해 접할 수 있어서,온라인모바일 플렉품올 통해 접할 수 있어서,6
